Symbol,ETF Name,Allocation (%),Current Price ($),Category,Investment ($)
QQQ,"Invesco QQQ Trust, Series 1",35,626.65,Large Growth,17500.0
VTI,Vanguard Total Stock Market ETF,30,342.4,Large Blend,15000.0
VXUS,Vanguard Total International St,20,77.83,Foreign Large Blend,10000.0
VWO,Vanguard FTSE Emerging Markets ,10,55.43,Diversified Emerging Mkts,5000.0
GLD,SPDR Gold Shares,5,414.47,Commodities Focused,2500.0
